words,ner_c,ner_f
"['L&apos;', 'épaule-en-dedans', 'est', 'l&apos;', 'aspirine', 'de', 'l&apos;', 'équitation', '.']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['C&apos;', 'est', 'un', 'exercice', 'que', 'le', 'cheval', 'voit', 'très', 'tôt', 'dans', 'son', 'éducation', 'et', 'qui', 'participera', 'toute', 'sa', 'vie', 'à', 'son', 'entraînement', '.']","['n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['Dans', 'cet', 'exercice', ',', 'le', 'cheval', 'se', 'déplace', ',', 'vers', 'son', 'côté', 'convexe', ',', 'sur', 'une', 'ligne', 'droite', '.']","['n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n']"
"['L&apos;', 'attitude', 'du', 'cheval', 'favorise', 'sa', 'décontraction', 'et', 'l&apos;', 'engagement', 'du', 'postérieur', 'interne', 'améliore', 'son', 'équilibre', '.']","['n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'n']"
"['L&apos;', 'angle', 'optimal', 'est', 'obtenu', 'quand', 'le', 'cheval', 'marche', 'sur', '3', 'pistes', '.']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n']"
"['Ainsi', ',', 'lors', 'd&apos;', 'une', 'épaule-en-dedans', 'droite', '(', 'comme', 'sur', 'le', '1er', 'exemple', ')', ',', 'l&apos;', 'antérieur', 'droit', 'trace', 'une', 'piste', 'interne', ',', 'l&apos;', 'antérieur', 'gauche', 'et', 'le', 'postérieur', 'droite', 'sont', 'sur', 'une', 'piste', 'intermédiaire', 'et', 'le', 'postérieur', 'gauche', 'sur', 'une', 'piste', 'externe', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'B-T', 'T', 'n']"
"['Les', 'aides', 'du', 'cavalier', 'sont', ',', 'tout', 'simplement', ',', 'celles', 'de', 'l&apos;', 'incurvation', '.']","['n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['Simplement', ',', 'quand', 'les', 'épaules', 'du', 'cheval', 'sont', 'sorties', 'de', 'la', 'pistes', ',', 'la', 'jambe', 'interne', ',', 'le', 'poids', 'du', 'corps', 'et', 'l&apos;', 'assiette', 'indique', 'au', 'cheval', 'le', 'changement', 'de', 'direction', '.']","['n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n']"
"['Pour', 'préparer', 'la', 'sortie', 'des', 'épaules', ',', 'il', 'est', 'plus', 'aisé', 'de', 'se', 'mettre', 'sur', 'une', 'volte', 'puis', 'de', 'la', 'quitter', 'en', 'se', 'déplaçant', 'le', 'long', 'de', 'la', 'piste', '.']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
"['Donc', ',', 'pour', 'une', 'épaule-en-dedans', 'droite', ',', 'on', 'observe', ',', 'chez', 'le', 'cavalier', ',', 'la', 'rotation', 'du', 'poignet', 'droit', ',', 'l&apos;', 'action', 'de', 'la', 'jambe', 'droite', 'au', 'centre', '.']","['n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']","['n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'B-T', 'B-T', 'n', 'n', 'B-T', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n']"
