,words,ner_c,ner_f
0,"['United', 'Nations', 'Convention', 'against', 'Corruption', 'This', 'Decision', 'authorises', 'the', 'President', 'of', 'the', 'Council', 'to', 'designate', 'the', 'persons', 'empowered', 'to', 'sign', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
1,"['The', 'Convention', 'aims', 'to', 'boost', 'the', 'effectiveness', 'of', 'the', 'fight', 'against', 'corruption', ',', 'promote', 'the', 'proper', 'management', 'of', 'public', 'affairs', 'and', 'encourage', 'international', 'cooperation', 'and', 'technical', 'assistance', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
2,"['ACT', 'Council', 'Decision', 'on', 'the', 'signing', ',', 'on', 'behalf', 'of', 'the', 'European', 'Community', ',', 'of', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n']"
3,"['SUMMARY', 'At', 'the', 'conference', 'held', 'in', 'Merida', '(', 'Mexico', ')', 'from', '9', 'to', '11', 'December', '2003', ',', 'the', 'United', 'Nations', 'Convention', 'against', 'Corruption', 'was', 'opened', 'for', 'signing', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']"
4,"['At', 'its', '2658th', 'session', 'on', '10', 'May', '2005', ',', 'the', 'Council', 'adopted', 'the', 'Commission', 'proposal', 'concerning', 'the', 'signing', 'of', 'the', 'Convention', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
5,"['The', 'Decision', 'authorises', 'the', 'President', 'of', 'the', 'Council', 'to', 'designate', 'the', 'persons', 'empowered', 'to', 'sign', 'the', 'United', 'Nations', 'Convention', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
6,"['On', '15', 'September', '2005', ',', 'the', 'European', 'Commission', 'and', 'the', 'Council', 'Presidency', 'signed', 'the', 'Convention', 'on', 'behalf', 'of', 'the', 'European', 'Community', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
7,"['The', 'Convention', ',', 'now', 'known', 'as', 'the', 'Merida', 'Convention', ',', 'was', 'adopted', 'by', 'the', 'UN', 'General', 'Assembly', 'on', '31', 'October', '2003', '(', 'Resolution', '58', '/', '4', ')', 'and', 'was', 'open', 'for', 'signing', 'until', '9', 'December', '2005', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
8,"['Producing', 'an', 'effective', 'instrument', 'against', 'corruption', 'In', 'December', '2000', ',', 'the', 'UN', 'General', 'Assembly', 'decided', 'to', 'establish', 'a', 'special', 'committee', 'open', 'to', 'all', 'States', 'for', 'drawing', 'up', 'an', 'effective', 'international', 'legal', 'instrument', 'against', 'corruption', '(', 'Resolution', '55', '/', '61', ')', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'B-T', 'T', 'n', 'B-T', 'n', 'B-T', 'n', 'n', 'n', 'n', 'n']"
9,"['The', 'committee', 'negotiated', 'the', 'Convention', 'between', 'January', '2002', 'and', 'October', '2003', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
